Категория;Подкатегория;Группа;Подгруппа;Товар;Бренд;Максимальная продажная цена;Средняя цена продажи (руб)
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.23. Сыры голубая плесень;135.16.23.16. Сыры голубая плесень шт;БЗМЖ Сыр Английский козий 150г Городецкие Сыроварни;Городецкая Сыроварня; 329 ;
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.24. Сыры десертные;135.16.24.15. Сыры десертные шт;Сырная тарелка Say Cheese №5 155г Россия;Say Cheese; 329 ;
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.24. Сыры десертные;135.16.24.15. Сыры десертные шт;Шоколад бельгийский  с сыром  дор блю 100гр;Craft Eco Food; 329 ; 283 
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.24. Сыры десертные;135.16.24.15. Сыры десертные шт;Шоколад бельгийский  с сыром горгонзолла 100гр;Craft Eco Food; 329 ; 299 
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.32. Сыры из смешанного, козьего, овечьего молока;135.16.32.16. Сыры из смешанного молока шт;БЗМЖ Сыр Камамбер Козий м.д.ж. 50% Егорлык Молоко 125г Россия;Егорлык Молоко; 329 ; 273 
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.32. Сыры из смешанного, козьего, овечьего молока;135.16.32.16. Сыры из смешанного молока шт;БЗМЖ Сыр мягкий КО&СО БЮШ ДЕ ШЕВР из козьего молока с белой плесенью 45% 100гр.;ko&co; 329 ; 272 
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.32. Сыры из смешанного, козьего, овечьего молока;135.16.32.16. Сыры из смешанного молока шт;БЗМЖ Сыр с козьим молоком Село Зеленое 45% 160г;Село Зеленое; 329 ;
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.32. Сыры из смешанного, козьего, овечьего молока;135.16.32.16. Сыры из смешанного молока шт;Сыр Брынза Деликатесы Армении овечий 48% 200г Армения;Деликатесы Армении; 329 ;
135. Сыры;135.19. Плавленые, копченые, колбасные  сыры;135.19.11. Плавленый сыр;135.19.11.14. Сыр плавленый ванночка;БЗМЖ Сыр плавленный Томское молоко 65% сливочный 400гр;Томское молоко; 329 ; 292 
135. Сыры;135.20. Фермерские сыры;135.20.11. Фермерские сыры;135.20.11.11. Фермерские сыры шт.;БЗМЖ Сыр Качотта Red 50% 260г Россия;RED; 329 ;
135. Сыры;135.20. Фермерские сыры;135.20.11. Фермерские сыры;135.20.11.11. Фермерские сыры шт.;БЗМЖ Сыр Качотта Red с прованскими травами 50% 260г Россия;RED; 329 ;
135. Сыры;135.20. Фермерские сыры;135.20.11. Фермерские сыры;135.20.11.11. Фермерские сыры шт.;Сыр Качотта Red с паприкой 50% 260г Россия;RED; 329 ;
135. Сыры;135.21. Сыры с ЗМЖ;135.21.11. Сыры с ЗМЖ;135.21.11.11. Сыры с ЗМЖ  вес;СЗМЖ Плавленый продукт с сыром Иркутская МСБ Колбасный копченый 40% кг Россия;Не бренд; 329 ;
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.15. Сыры сычужные твердые шт;БЗМЖ Сыр Пармезан ОКЕЙ 40% 6 мес 180г;О'кей; 324 ; 235 
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.15. Сыры сычужные полутвердые шт;БЗМЖ Сыр  Виола  полутвердый Маасдам 45%, 180г;Viola; 324 ; 241 
